endTime,artistName,trackName,msPlayed
2023-05-17 23:02,Taiu,Rara Vez,128686
2023-05-17 23:04,Rels B,No Sabe Igual,136069
2023-05-17 23:08,Maria Becerra,DESAFIANDO EL DESTINO,192718
2023-05-17 23:11,Milo j,Domingo,190583
2023-05-17 23:13,Tiago PZK,Hablando De Love,156093
2023-05-17 23:16,Emilia,mi otra mitad,166720
2023-05-17 23:19,Quevedo,PUNTO G,151337
2023-05-17 23:22,Rels B,La Última Canción,184755
2023-05-17 23:24,Maria Becerra,ADIÓS,160870
2023-05-17 23:27,Yami Safdie,De Nada,136958
2023-05-17 23:29,Tiago PZK,Sabor A Miel,171142
2023-05-17 23:32,Milo j,Morocha,130635
2023-05-17 23:34,Nicki Nicole,qué le pasa conmigo?,167260
2023-05-17 23:37,Rels B,lo que hay x aquí,155040
2023-05-17 23:40,Maria Becerra,DOBLE VIDA,181844
2023-05-17 23:41,Emilia,como si no importara,30860
2023-05-18 0:59,Emilia,No_se_ve.mp3,2368
2023-05-18 16:53,KHEA,PARA AMARTE A TI,215156
2023-05-18 16:57,Maria Becerra,DESAFIANDO EL DESTINO (Live Version),250081
2023-05-18 17:00,Tiago PZK,Que Se Parezca A Ti,184511
2023-05-18 17:03,Nico Valdi,Nico Valdi produciendo a Juli Martorell,164854
2023-05-18 17:05,Milo j,Tus Vueltas,122181
2023-05-18 17:08,KHEA,Dónde Estás,153560
2023-05-18 20:27,Emilia,No_se_ve.mp3,0
2023-05-18 20:27,Emilia,Jagger.mp3,0
2023-05-18 20:27,TINI,Cupido,94121
2023-05-18 20:32,KHEA,PARA AMARTE A TI,215167
2023-05-18 20:35,Tiago PZK,Que Se Parezca A Ti,184520
2023-05-18 20:38,TINI,Te Pido,174895
2023-05-18 20:40,Maria Becerra,ADIÓS,160867
2023-05-18 20:43,Nico Valdi,Nico Valdi produciendo a Juli Martorell,164862
2023-05-18 20:46,KHEA,ECLIPSE,153847
2023-05-18 20:49,ROSALÍA,BESO,194561
2023-05-18 20:51,Tiago PZK,Me Olvidé,163411
2023-05-18 20:53,Rels B,cómo dormiste?,112578
2023-05-18 20:54,TINI,Las Jordans,24188
2023-05-18 23:32,ANTES QUE NADIE,¿QUÉ ES LO PEOR QUE TE PUEDEN DECIR?,2854204
2023-05-19 1:22,Tiago PZK,Me Enteré,98261
2023-05-19 14:37,Tiago PZK,Me Enteré,182075
2023-05-19 14:41,KHEA,PARA AMARTE A TI,215156
2023-05-19 14:44,Tiago PZK,Que Se Parezca A Ti,184511
2023-05-19 14:47,Maria Becerra,Perdidamente,153326
2023-05-19 14:49,Feid,TENGO FE,146426
2023-05-19 14:51,Rels B,cómo dormiste?,112572
2023-05-19 14:54,TINI,Cupido,174369
2023-05-19 14:56,Tiago PZK,Sex & Love,145890
2023-05-19 15:00,KHEA,Te Necesito,197960
2023-05-19 15:03,Maria Becerra,Felices x Siempre,199656
2023-05-19 15:06,Duki,Esto Recién Empieza,172352
2023-05-19 15:08,Taiu,Rara Vez,128677
2023-05-19 15:11,Tiago PZK,Me Olvidé,163404
2023-05-19 15:14,Emilia,como si no importara,173052
2023-05-19 15:17,Luck Ra,Te Mentiría,186382
2023-05-19 15:20,Maria Becerra,DESAFIANDO EL DESTINO,192703
2023-05-19 15:23,Quevedo,PUNTO G,151324
2023-05-19 15:26,Tiago PZK,Sola,196144
2023-05-19 15:30,Nicki Nicole,Toa la Vida,218969
2023-05-19 15:32,Feid,Ferxxo 100,167760
2023-05-19 15:33,Luck Ra,Me Gusta,56482
2023-05-20 15:19,Emilia,No_se_ve.mp3,203646
2023-05-20 15:21,Taiu,Rara Vez,128687
2023-05-20 15:24,Tiago PZK,Me Enteré,182091
2023-05-20 15:26,BM,M.A (Mejores Amigos),158318
2023-05-20 15:30,Yandel,Yandel 150,216162
2023-05-20 15:34,Miranda!,Perfecta (Versión 2023),221065
2023-05-20 15:36,Emilia,Jagger.mp3,155876
2023-05-20 15:39,Shakira,Acróstico,170793
2023-05-20 15:43,Bad Bunny,WHERE SHE GOES,231714
2023-05-20 15:46,TINI,Cupido,174377
2023-05-20 15:49,KAROL G,TQG,197944
2023-05-20 15:52,Nicki Nicole,DISPARA ***,143941
2023-05-20 15:54,LiL CaKe,MERCHO,161464
2023-05-20 15:57,Luck Ra,Quiero Creer,145062
2023-05-20 16:00,ROSALÍA,BESO,194554
2023-05-20 16:07,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,428466
2023-05-20 16:10,Mesita,Dale Mecha,150833
2023-05-20 16:12,Damas Gratis,Costumbres - Vivo,133083
2023-05-20 16:13,The La Planta,DISCOTEKA (feat. Locura Mix),79028
2023-05-20 18:27,Justin Bieber,2 Much,16917
2023-05-20 18:29,Justin Bieber,2 Much,137432
2023-05-20 18:33,Justin Bieber,Deserve You,187480
2023-05-20 18:35,Justin Bieber,As I Am (feat. Khalid),174631
2023-05-20 18:38,Justin Bieber,Off My Face,156670
2023-05-20 18:42,Justin Bieber,Holy (feat. Chance The Rapper),212367
2023-05-20 18:44,Justin Bieber,Unstable (feat. The Kid LAROI),158529
2023-05-20 18:46,Justin Bieber,MLK Interlude,88515
2023-05-22 20:46,Lady Gaga,I'll Never Love Again - Film Version,1066
2023-05-22 20:54,Lady Gaga,I'll Never Love Again - Film Version,283471
2023-05-22 20:55,James Arthur,Empty Space,1345
2023-05-22 20:55,James Arthur,Empty Space,2543
2023-05-22 20:55,James Arthur,Empty Space,1879
2023-05-22 20:55,James Arthur,Empty Space,42521
2023-05-22 20:55,Lady Gaga,I'll Never Love Again - Film Version,4100
2023-05-22 20:55,Dean Lewis,Be Alright - Acoustic,2614
2023-05-22 20:58,James Arthur,Empty Space,219588
2023-05-22 21:02,Dean Lewis,Be Alright - Acoustic,200627
2023-05-22 21:05,Lewis Capaldi,Hold Me While You Wait - Recorded at Spotify Studios NYC,207422
2023-05-22 21:08,Demi Lovato,Sober,200608
2023-05-22 21:12,Lady Gaga,Million Reasons,208240
2023-05-22 21:15,Little Mix,"Secret Love Song, Pt. II",202296
2023-05-22 21:18,Tiago PZK,Me Enteré,187367
2023-05-22 21:19,Emilia,No_se_ve.mp3,170
2023-05-22 21:19,Emilia,No_se_ve.mp3,1500
2023-05-22 21:19,Emilia,No_se_ve.mp3,31429
2023-05-22 21:22,Emilia,No_se_ve.mp3,212673
2023-05-22 21:23,Emilia,No_se_ve.mp3,7628
2023-05-22 21:23,Tiago PZK,Me Enteré,6966
2023-05-22 21:25,Maria Becerra,Te Cura - Sped Up,131563
2023-05-22 21:28,Sebastian Yatra,VAGABUNDO,30003
2023-05-22 21:32,Shakira,Acróstico,175812
2023-05-22 21:35,Maria Becerra,DESAFIANDO EL DESTINO,195238
