endTime,artistName2,trackName,msPlayed
2023-02-27 18:15,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,196519

2023-02-27 18:16,Eminem,Love The Way You Lie,15865

2023-02-27 18:19,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,196519

2023-02-27 18:23,Rihanna,Born Again,10133

2023-02-27 18:23,Eminem,Love The Way You Lie,263373

2023-02-27 18:27,Rihanna,Te Amo,208426

2023-02-27 18:32,T.I.,Live Your Life,338853

2023-02-27 18:35,Rihanna,FourFiveSeconds,188238

2023-02-27 18:40,Rihanna,California King Bed,251600

2023-02-27 22:12,Rihanna,Work,917

2023-02-27 22:12,JAY-Z,Run This Town,640

2023-02-27 22:12,Rihanna,Woo,130938

2023-02-27 22:15,Rihanna,FourFiveSeconds,188238

2023-02-27 22:18,Rihanna,Stay,1430

2023-02-27 22:18,Drake,Take Care,40575

2023-02-27 22:18,T.I.,Live Your Life,5570

2023-02-27 22:18,Rihanna,Hate That I Love You,5590

2023-02-27 22:23,Rihanna,What's My Name?,263173

2023-02-27 22:27,Rihanna,Only Girl (In The World),2420

2023-02-27 22:27,Rihanna,Rude Boy,0

2023-02-27 22:27,Rihanna,Loveeeeeee Song,252250

2023-02-27 22:31,Rihanna,Rude Boy,222920

2023-02-27 22:35,Rihanna,Only Girl (In The World),235493

2023-02-27 22:37,Rihanna,Born Again,3610

2023-02-27 22:37,Rihanna,Pour It Up,161200

2023-02-27 22:37,Eminem,Love The Way You Lie,3684

2023-02-27 22:41,Rihanna,You Da One,200013

2023-02-27 22:45,Drake,Too Good,263373

2023-02-27 22:51,Rihanna,Don't Stop The Music,267080

2023-02-27 22:58,Rihanna,Needed Me,190797

2023-02-27 23:02,Rihanna,Pon de Replay,246960

2023-02-27 23:05,Rihanna,We Found Love,215226

2023-02-27 23:06,Rihanna,Take A Bow,72603

2023-02-27 23:11,Eminem,The Monster,250188

2023-02-27 23:25,Rihanna,Umbrella,233917

2023-02-27 23:29,Rihanna,S&M,243600

2023-02-27 23:33,JAY-Z,Run This Town,267520

2023-02-27 23:37,Rihanna,SOS,238920

2023-02-27 23:41,Coldplay,Princess of China,239215

2023-02-27 23:44,Rihanna,Te Amo,208426

2023-02-27 23:51,Calvin Harris,This Is What You Came For,222160

2023-02-27 23:55,Rihanna,Love On The Brain,224000

2023-02-27 23:58,Rihanna,Consideration,161066

2023-02-28 00:01,Shakira,Can't Remember to Forget You (feat. Rihanna),206866

2023-02-28 00:07,Shakira,Can't Remember to Forget You (feat. Rihanna),930

2023-02-28 00:07,Rihanna,Shut Up And Drive,8504

2023-02-28 00:07,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),207676

2023-02-28 00:07,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),560

2023-02-28 00:09,Rihanna,Consideration,139230

2023-02-28 00:16,Shakira,Can't Remember to Forget You (feat. Rihanna),204946

2023-02-28 00:19,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),204173

2023-02-28 00:22,Rihanna,Shut Up And Drive,212280

2023-02-28 00:26,Rihanna,Disturbia,238626

2023-02-28 00:29,Rihanna,Bitch Better Have My Money,148118

2023-02-28 15:32,Billie Eilish,TV,246040

2023-02-28 21:59,Billie Eilish,Happier Than Ever,298899

2023-02-28 22:06,Billie Eilish,everything i wanted,118766

2023-02-28 22:09,Sebastian Yatra,Pareja Del Año,195053

2023-02-28 22:12,Maria Becerra,ADIÓS,160856

2023-02-28 22:15,Maria Becerra,NUNCA PASARÁ,173440

2023-02-28 22:16,Pinkfong,Baby Shark,5665

2023-02-28 22:16,Pinkfong,Baby Shark,7267

2023-02-28 22:16,Pinkfong,Baby Shark,63138

2023-02-28 22:16,Pinkfong,Baby Shark,2902

2023-02-28 22:19,TINI,Cupido,174369

2023-02-28 22:22,Rauw Alejandro,PUNTO 40,190654

2023-02-28 22:25,Duki,Si Te Sentis Sola,178294

2023-02-28 22:26,Neo Pistea,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",26593

